,name,avg,max,min,importance
0,Machine Learning,84642.5,108996,60289,0.020
1,MATLAB,77986,99230,56742,0.007
2,Shell Scripting,75616.5,96245,54988,0.028
3,SAS,74210,94629,53791,0.036
4,Microsoft SQL Server,73779,92118,55440,0.011
5,.Net,73623.5,98431,48816,0.027
6,Spark,72954,91974,53934,0.023
7,Software Development,72863,91539,54187,0.032
8,Hadoop,72596.5,85062,60131,0.034
9,Oracle,72038.5,91269,52808,0.025
10,Hive,71631,89119,54143,0.035
11,Git,70913,94311,47515,0.009
12,Python,70894.5,85507,56282,0.042
13,SQL,67994,85145,50843,0.034
14,C/C++,67141.5,84233,50050,0.004
15,Data Science,67071.5,82679,51464,0.018
16,R,66596.5,83896,49297,0.053
17,Business Intelligence,66545.5,82661,50430,0.028
18,Data Analysis,66460.5,83209,49712,0.032
19,Tableau,66406,82537,50275,0.021
20,Cassandra,66174,82298,50050,0.000
21,TensorFlow,66174,82298,50050,0.000
22,Kafka,66174,82298,50050,0.000
23,Natural Language Processing,65907,81764,50050,0.000
24,HBase,65314.5,82195,48434,0.001
25,Big Data,65183.5,80317,50050,0.008
26,JavaScript,65070,86812,43328,0.005
27,Scripting,64567.5,77388,51747,0.021
28,Linux,64565.5,79710,49421,0.009
29,MongoDB,64539,80298,48780,0.008
30,Java,64038.5,81340,46737,0.050
31,SPSS,63280,77742,48818,0.042
32,NoSQL,62040.5,76769,47312,0.032
33,Perl,61939.5,74667,49212,0.011
34,AWS,61807,75289,48325,0.027
35,Azure,61751.5,73485,50018,0.002
36,MySQL,61351.5,72987,49716,0.021
37,AI,61188.5,75635,46742,0.026
38,Data Warehouse,61002.5,72966,49039,0.031
39,Scala,60721,78287,43155,0.014
40,Microsoft Office,60633,77040,44226,0.025
41,S3,60397.5,74019,46776,0.011
42,Project Management,57452.5,70902,44003,0.037
43,Excel,52461.5,66776,38147,0.037
44,PostgreSQL,50909,64745,37073,0.021
45,Pig,47503.5,57801,37206,0.023